Motif,TF
NFAT_Q4_01,Nfatc1;Nfatc2;Nfatc3;Nfatc4
NFAT_Q6,Nfatc1;Nfatc2;Nfatc3;Nfatc4
NFE2_01,Nfe2
NFKAPPAB_01,Cdc37;Nfkb1;Rel;Rela
NFKAPPAB50_01,Cdc37;Nfkb1;Rel
NFKAPPAB65_01,Nfkb1;Rel;Rela
NFKB_C,Cdc37;Nfkb1;Rel
NFKB_Q6,Cdc37;Nfkb1;Rel
NFKB_Q6_01,Cdc37;Nfkb1;Nfkb2;Rel;Rela;Tpx2
NFMUE1_Q6,-
NFY_01,-
NFY_C,Cbfb;Cebpa;Nfya;Nfyb
NFY_Q6,Cp2;Cbfb;Cebpa;Nfya;Nfyb;Nfyc
NFY_Q6_01,Cp2;Cbfb;Cebpa;Nfya;Nfyb;Nfyc
NGFIC_01,Egr4;Foxc1
NKX22_01,Nkx2-2
NKX25_01,Nkx2-5
NKX25_02,Nkx2-5
NKX25_Q5,Nkx2-5
NKX32_01,Nkx3-2
NKX3A_01,Nkx3-1
NKX61_01,Nkx6-1
NKX62_Q2,Nkx6-2
NMYC_01,Mycn
NRF1_Q6,Nrf1
NRF2_01,-
NRF2_Q4,Nfe2l2
NRSE_B,Foxc1;Rest
NRSF_01,Foxc1;Rest
NRSF_Q4,Foxc1;Rest
OCT_C,Pou2f1;Pou2f2;Slc22a2
OCT_Q6,Pou2af1;Pou2f1;Pou2f2;Pou2f3;Pou3f1;Pou3f2;Pou3f3;Pou4f1;Pou5f1;Slc22a2
OCT1_01,Pou2f1
OCT1_02,Pou2f1
OCT1_03,Pou2f1
OCT1_04,Pou2f1
OCT1_05,Pou2f1
OCT1_06,Pou2f1
OCT1_07,Pou2f1
OCT1_B,Pou2f1
OCT1_Q5_01,Pou2f1
OCT1_Q6,Pou2f1
OCT4_01,Pou5f1
OCT4_02,Pou5f1
OG2_01,Nobox
OLF1_01,Ebf1;Ebf4
OSF2_Q6,Runx2;Postn
OTX_Q1,Otx1;Otx2
P300_01,Ep300
P53_01,Trp53;Trp53-ps
P53_02,Trp53;Trp53-ps
